repo_name,build_tool,number_of_external_dependencies,number_of_java_files,number_of_lines_of_code,number_of_modules,number_of_unit_tests
Netflix-curator.yaml,maven,10,1,262,1,32
RichardWarburton-slab.yaml,maven,8,21,978,1,25
NetherlandsForensicInstitute-kafka-spout.yaml,maven,14,7,1016,1,51
OPCFoundation-UA-Java-Legacy.yaml,maven,16,596,153627,1,180
OpenHFT-Zero-Allocation-Hashing.yaml,maven,8,24,6045,1,35
Simmetrics-simmetrics.yaml,maven,8,65,9606,2,266
SAP-archive-cloud-espm-v2.yaml,maven,38,28,3990,2,80
RNCryptor-JNCryptor.yaml,maven,6,16,2617,1,57
Tanaguru-Contrast-Finder.yaml,maven,38,25,2881,6,0
SquareSquash-java.yaml,maven,8,2,231,1,6
Syncleus-aparapi.yaml,maven,6,79,28757,1,562
Stratio-cassandra-lucene-index.yaml,maven,17,165,16165,3,1188
SonarSource-sonarlint-cli.yaml,maven,14,46,3954,1,139
TU-Berlin-DIMA-scotty-window-processor.yaml,maven,49,129,7055,11,71
abahgat-suffixtree.yaml,maven,2,5,991,1,2
VisualDataWeb-OWL2VOWL.yaml,maven,34,98,6689,1,5
TechPrimers-spring-boot-graphql-query-example.yaml,maven,16,7,203,1,1
Wolfgang-Schuetzelhofer-jcypher.yaml,maven,20,341,41513,1,197
Yubico-java-u2flib-server.yaml,maven,16,49,2861,3,115
acogoluegnes-Spring-Batch-Workshop.yaml,maven,57,118,4568,34,48
adyliu-zkclient.yaml,maven,10,19,2507,1,19
alibaba-compileflow.yaml,maven,28,471,25894,1,8
alexa-alexa-skills-kit-sdk-for-java.yaml,maven,42,0,0,9,0
addthis-stream-lib.yaml,maven,16,48,7941,1,152
ToastShaman-dropwizard-auth-jwt.yaml,maven,18,2,282,1,17
adnovum-sonar-build-breaker.yaml,maven,8,5,469,1,22
alibaba-fastjson.yaml,maven,122,193,56642,1,273
alexnederlof-Jasper-report-maven-plugin.yaml,maven,22,2,532,1,0
alibaba-tamper.yaml,maven,20,78,6479,1,55
alibaba-fastjson2.yaml,maven,234,887,204206,11,8823
alibaba-velocity-spring-boot-project.yaml,maven,15,38,2549,3,17
alibaba-spring-context-support.yaml,maven,6,27,4741,1,50
ThreeTen-threetenbp.yaml,maven,2,93,51948,1,2609
alimate-errors-spring-boot-starter.yaml,maven,16,41,4006,1,113
alibaba-QLExpress.yaml,maven,10,142,10938,1,193
amigoscode-spring-boot-essentials.yaml,maven,6,7,261,1,4
americanexpress-nodes.yaml,maven,10,27,1814,3,59
amazon-archives-aws-apigateway-importer.yaml,maven,32,0,0,1,0
amaembo-huntbugs.yaml,maven,17,194,24397,5,15
andygibson-datafactory.yaml,maven,2,7,1543,1,23
anthonyu-KeptCollections.yaml,maven,6,14,2669,1,45
anomaly2104-lld-parking-lot.yaml,maven,4,29,1097,1,62
amihaiemil-docker-java-api.yaml,maven,18,75,8255,1,264
anomaly2104-lld-cab-booking-ola-uber-grab-lyft.yaml,maven,18,21,473,1,1
amigoscode-spring-boot-security-course.yaml,maven,4,3,64,1,1
apache-servicecomb-toolkit.yaml,maven,82,466,26613,10,290
arocketman-Spring-oauth2-jpa-example.yaml,maven,22,11,366,1,1
apache-servicecomb-saga-actuator.yaml,maven,132,131,7361,10,128
apache-tiles.yaml,maven,131,188,18116,14,429
antkorwin-better-strings.yaml,maven,10,8,447,1,28
awslabs-dynamodb-streams-kinesis-adapter.yaml,maven,30,28,4702,1,164
artsok-rerunner-jupiter.yaml,maven,14,11,1419,1,12
awslabs-amazon-kinesis-client.yaml,maven,52,304,42689,2,1029
atomix-copycat.yaml,maven,16,188,32792,5,40
bbeck-token-bucket.yaml,maven,6,4,497,1,38
aws-aws-dynamodb-encryption-java.yaml,maven,19,42,6129,2,386
brettwooldridge-SansOrm.yaml,maven,22,18,3382,1,86
brettwooldridge-SparseBitSet.yaml,maven,2,1,3097,1,49
brettwooldridge-HikariJSON.yaml,maven,20,14,1372,1,4
bedatadriven-jackson-datatype-jts.yaml,maven,8,15,641,1,4
bucharest-jug-dropwizard-todo.yaml,maven,9,11,568,3,14
callicoder-spring-boot-actuator-demo.yaml,maven,12,4,102,1,1
carrotsearch-smartsprites.yaml,maven,16,33,5744,1,145
cglib-cglib.yaml,maven,17,137,15160,5,4
cassiomolin-jersey-jwt.yaml,maven,40,35,2007,1,15
cowtowncoder-low-gc-membuffers.yaml,maven,2,33,6186,1,0
chrisgleissner-spring-batch-rest.yaml,maven,25,41,1999,4,60
cheese10yun-spring-jpa-best-practices.yaml,maven,38,44,1607,1,66
beckchr-staxon.yaml,maven,7,76,11028,5,384
code4craft-hello-design-pattern.yaml,maven,8,54,1376,1,25
chanjarster-spring-test-examples.yaml,maven,71,29,448,9,77
craigwblake-redline.yaml,maven,14,53,6971,1,41
cternes-openkeepass.yaml,maven,8,89,6859,1,197
cstettler-ddd-to-the-code-workshop-sample.yaml,maven,32,110,4351,6,49
davidmoten-rxjava-extras.yaml,maven,18,76,12237,1,327
davidmoten-rxjava2-extras.yaml,maven,26,70,10571,1,410
cutting-trevni.yaml,maven,0,36,3619,2,45
demoiselle-framework.yaml,maven,76,113,8364,11,175
davidmoten-rxjava-file.yaml,maven,10,3,902,1,10
ef-labs-vertx-jersey.yaml,maven,55,87,5651,5,98
davidmarquis-redis-scheduler.yaml,maven,24,11,616,1,11
crossoverJie-distributed-redis-tool.yaml,maven,36,10,680,1,23
eclipse-jkube-jkube.yaml,maven,7,628,63712,4,2411
dsyer-sparklr-boot.yaml,maven,12,1,95,1,33
esastack-esa-restlight.yaml,maven,88,459,40613,14,844
ebnew-ki4so.yaml,maven,63,81,4915,6,41
dschulten-hydra-java.yaml,maven,63,113,12748,5,190
dpaukov-combinatoricslib.yaml,maven,2,37,5547,1,121
evsinev-ber-tlv.yaml,maven,6,10,922,1,21
etsy-statsd-jvm-profiler.yaml,maven,14,22,1806,1,47
feroult-yawp.yaml,maven,23,248,20075,5,397
fabriciocolombo-sonar-delphi.yaml,maven,42,177,18412,1,244
finn-no-xss-html-filter.yaml,maven,4,1,534,1,12
fommil-matrix-toolkits-java.yaml,maven,12,122,22950,1,254
ghillert-botanic-ng.yaml,maven,30,40,2016,1,7
exchange-core-exchange-core.yaml,maven,52,91,12203,1,147
gaul-are-we-consistent-yet.yaml,maven,20,2,378,1,5
gkopff-gson-jodatime-serialisers.yaml,maven,12,12,1245,1,42
github-maven-plugins.yaml,maven,10,7,1352,2,34
greengerong-prerender-java.yaml,maven,16,4,589,1,13
google-closure-stylesheets.yaml,maven,18,0,0,1,0
giltene-PauselessHashMap.yaml,maven,4,1,1507,1,0
grumlimited-geocalc.yaml,maven,8,8,784,1,24
gshaw-pivotal-spring-hexagonal-example.yaml,maven,15,13,302,5,42
henryyan-activiti-dry-cargo.yaml,maven,18,10,965,1,6
hazelcast-hazelcast-kubernetes.yaml,maven,16,12,2079,1,60
hypercube1024-firefly.yaml,maven,43,382,46377,7,712
idealista-format-preserving-encryption-java.yaml,maven,4,26,735,1,32
hotchemi-LruCache.yaml,maven,6,4,298,1,13
hope-for-hope-cloud.yaml,maven,15,6,153,4,4
hyperledger-archives-quilt.yaml,maven,103,363,33866,12,1392
jahlborn-jackcess.yaml,maven,8,192,54736,1,9
jamesmorgan-ReloadablePropertiesAnnotation.yaml,maven,26,14,1087,1,41
jahlborn-sqlbuilder.yaml,maven,2,120,16742,1,0
intuit-wasabi.yaml,maven,194,533,76563,29,1156
jdbc-observations-datasource-proxy.yaml,maven,30,137,14541,1,388
jenkinsci-kubernetes-cd-plugin.yaml,maven,42,34,8311,1,23
jhalterman-concurrentunit.yaml,maven,4,3,522,1,15
janvanbesien-java-ipv6.yaml,maven,4,8,2043,1,100
jclagache-spring-data-mybatis.yaml,maven,34,20,827,1,7
jirutka-rsql-parser.yaml,maven,10,17,1141,1,0
jirutka-spring-rest-exception-handler.yaml,maven,40,20,1804,1,0
johannburkard-StringSearch.yaml,maven,2,10,2938,1,15
jleetutorial-maven-project.yaml,maven,12,1,19,2,2
jparsec-jparsec.yaml,maven,10,215,16033,3,687
jorabin-KeePassJava2.yaml,maven,41,101,14541,11,115
inreachventures-aws-signing-request-interceptor.yaml,maven,16,2,326,1,18
kohsuke-wordnet-random-name.yaml,maven,2,2,99,1,3
junkdog-artemis-odb.yaml,maven,1,352,30283,5,443
koushikkothagal-spring-boot-security.yaml,maven,6,3,75,1,1
jline-jline2.yaml,maven,10,53,11865,1,143
khoubyari-spring-boot-rest-example.yaml,maven,28,14,570,1,3
julienchastang-charts4j.yaml,maven,2,109,15076,1,208
keepcosmos-beanmother.yaml,maven,12,78,4606,5,171
lagodiuk-genetic-algorithm.yaml,maven,2,6,481,1,2
liuyueyi-quick-alarm.yaml,maven,21,41,2259,4,12
kayahr-pherialize.yaml,maven,2,8,2649,1,0
locationtech-spatial4j.yaml,maven,12,72,10912,1,130
magro-kryo-serializers.yaml,maven,26,56,4497,1,248
logstash-log4j-jsonevent-layout.yaml,maven,8,3,348,1,30
larsga-Duke.yaml,maven,23,142,16656,8,593
kristofa-mock-http-server.yaml,maven,14,60,4070,1,163
mangstadt-biweekly.yaml,maven,14,306,55054,1,1188
medallia-Word2VecJava.yaml,maven,16,28,4143,1,12
merapar-graphql-spring-boot-starter.yaml,maven,13,22,985,2,38
meixuesong-aggregate-persistence.yaml,maven,14,16,1867,1,42
mboudreau-Alternator.yaml,maven,28,242,35099,1,248
modelmapper-modelmapper.yaml,maven,37,197,18020,4,264
mangstadt-ez-vcard.yaml,maven,20,225,42854,1,999
messenger4j-messenger4j.yaml,maven,18,128,6205,1,81
mongobee-mongobee.yaml,maven,20,16,1241,1,41
mp911de-CleanArchitecture.yaml,maven,47,44,1624,6,10
momosecurity-rhizobia_J.yaml,maven,6,34,5426,1,38
mp911de-logstash-gelf.yaml,maven,56,89,10315,1,306
naver-lucy-xss-servlet-filter.yaml,maven,10,9,990,1,24
neoremind-easy-mapper.yaml,maven,28,41,5588,1,36
nydiarra-springboot-jwt.yaml,maven,22,16,557,1,1
nurkiewicz-typeof.yaml,maven,6,11,295,1,23
opendatalab-de-geojson-jackson.yaml,maven,10,17,950,1,60
msanez-sonar-branch-community.yaml,maven,22,14,491,1,27
mpatric-mp3agic.yaml,maven,4,37,5793,1,495
pfmiles-dropincc.java.yaml,maven,2,96,8242,1,0
odrotbohm-whoops-architecture.yaml,maven,24,51,2098,4,10
philwebb-testing-spring-boot-applications.yaml,maven,16,13,645,1,30
organicveggie-metrics-statsd.yaml,maven,10,2,418,1,11
playframework-netty-reactive-streams.yaml,maven,15,20,2165,2,20
pivotalsoftware-ESarch.yaml,maven,27,52,4355,3,136
qos-ch-reload4j.yaml,maven,8,169,32330,1,162
pveentjer-Multiverse.yaml,maven,2,141,25030,1,2132
raml-org-raml-java-parser.yaml,maven,23,485,39292,2,84
perwendel-spark.yaml,maven,28,100,13947,1,320
ragnor-simple-spring-memcached.yaml,maven,84,147,13755,8,339
raydac-j-j-jvm.yaml,maven,5,30,6967,2,172
rfoltyns-log4j2-elasticsearch.yaml,maven,164,473,42977,7,2287
raphaeljolivet-java2typescript.yaml,maven,30,59,3453,5,21
rohanpadhye-vasco.yaml,maven,4,16,4892,1,3
rkapsi-patricia-trie.yaml,maven,2,18,4767,1,17
resthub-springmvc-router.yaml,maven,44,14,1975,1,0
rjeschke-txtmark.yaml,maven,2,23,6691,1,2
quicktheories-QuickTheories.yaml,maven,12,117,8738,2,503
rometools-rome.yaml,maven,29,378,71007,4,76
rtyley-animated-gif-lib-for-java.yaml,maven,6,4,2088,1,9
rmuller-infomas-asl.yaml,maven,3,8,1448,1,15
rstoyanchev-spring-websocket-portfolio.yaml,maven,76,17,988,1,6
rrice-java-string-similarity.yaml,maven,4,10,824,1,39
sanity-LastCalc.yaml,maven,30,70,6731,1,38
sbtourist-Journal.IO.yaml,maven,8,14,3095,1,68
shazam-shazamcrest.yaml,maven,14,13,1406,1,100
skate056-spring-security-oauth2-google.yaml,maven,36,9,554,1,8
sidd-harth-kubernetes-devops-security.yaml,maven,6,2,67,1,3
sannidhi-tdd-boot-demo.yaml,maven,16,6,186,1,12
schema-repo-schema-repo.yaml,maven,49,49,5947,8,50
smacke-jaydio.yaml,maven,6,15,2342,1,29
scijava-native-lib-loader.yaml,maven,4,7,1313,1,3
spotify-dataenum.yaml,maven,20,36,2842,3,50
spotify-apollo.yaml,maven,211,172,15370,11,466
sockeqwe-fragmentargs.yaml,maven,15,14,2782,3,15
smartrics-RestFixture.yaml,maven,16,50,6877,1,290
spotify-netty-zmtp.yaml,maven,22,32,2919,1,46
sonian-elasticsearch-jetty.yaml,maven,24,23,2548,1,30
spring-attic-authserver.yaml,maven,16,1,107,1,3
spring-attic-spring-cloud-aws.yaml,maven,143,205,19610,17,764
spotify-trickle.yaml,maven,10,28,2067,1,60
tdziurko-Guava-Lessons.yaml,maven,12,14,410,1,121
spullara-cli-parser.yaml,maven,2,4,771,1,1
square-javapoet.yaml,maven,12,17,5107,1,369
stephenc-high-scale-lib.yaml,maven,3,13,6263,3,0
tedyoung-kid-bank.yaml,maven,36,68,2423,1,121
szerhusenBC-jwt-spring-security-demo.yaml,maven,20,21,964,1,16
springframeworkguru-gof.yaml,maven,4,131,2597,1,27
square-mimecraft.yaml,maven,4,4,523,1,14
thulab-tsfile.yaml,maven,14,191,17210,1,183
swagger-api-swagger-inflector.yaml,maven,52,68,7542,1,254
tumblr-jumblr.yaml,maven,10,29,3047,1,103
tools4j-unix4j.yaml,maven,13,240,15850,3,442
tlrx-elasticsearch-test.yaml,maven,4,51,3485,1,34
tcplugins-tcWebHooks.yaml,maven,67,497,38726,4,519
trystan-AsciiPanel.yaml,maven,6,4,929,1,29
twitter-archive-cloudhopper-smpp.yaml,maven,8,113,13772,1,198
vidstige-jadb.yaml,maven,4,0,0,1,0
twitter-archive-libcrunch.yaml,maven,18,32,3194,1,37
vincentrussell-sql-to-mongo-db-query-converter.yaml,maven,40,27,5046,1,304
twitter-hbc.yaml,maven,0,62,5715,1,111
vdenotaris-spring-boot-security-saml-sample.yaml,maven,22,8,862,1,6
virgo47-javasimon.yaml,maven,78,298,30690,8,324
vbauer-caesar.yaml,maven,8,33,1042,1,53
vlingo-xoom-actors.yaml,maven,12,154,14479,1,194
twitter-joauth.yaml,maven,0,16,2490,1,6
uwolfer-gerrit-rest-java-client.yaml,maven,18,288,18880,1,308
wilkinsona-spring-boot-sample-tomcat-jndi.yaml,maven,6,2,119,1,2
watson-developer-cloud-java-sdk.yaml,maven,10,0,0,7,0
xuender-unidecode.yaml,maven,2,2,143,1,38
wkennedy-swagger4spring-web.yaml,maven,28,16,1698,1,16
wso2-balana.yaml,maven,8,292,51701,5,0
youngmonkeys-ezyfox-server.yaml,maven,15,628,24867,6,622
zalando-opentracing-toolbox.yaml,maven,44,180,6148,7,154
xpinjection-hibernate-performance.yaml,maven,14,10,231,1,21
yuequan1997-watchdog-spring-boot-starter.yaml,maven,24,14,891,1,6
ywilkof-spark-jobs-rest-client.yaml,maven,16,19,762,1,31
yahoo-sherlock.yaml,maven,38,98,17574,1,414
zapr-oss-druidry.yaml,maven,28,176,7627,1,466
